price_per_unit,quality_score,delivery_time_days,on_time_delivery_rate,defect_rate,return_rate,delivery_mode,lead_time_variance,forecast_accuracy,seasonality_index,demand_volatility_index,order_frequency_monthly,avg_order_volume,payment_term_days,offer_validity_days,procurement_action_code,delivery_term_code,items_requested,items_offered,temporal_month,supplier_reliability_score,selected_supplier_flag
284.03,7.69,10,0.98,0.03,0.01,Sea,3.42,0.95,0.8,0.16,23,1509,30,17,0,1,57,594,2,0.68,1
296.02,7.64,3,0.78,0.09,0.02,Air,2.62,0.64,0.94,0.05,21,1830.72,45,47,0,2,395,603,10,0.2,1
133.18,5.69,20,0.96,0.09,0.04,Air,3.46,0.96,0.85,0.41,26,219.49,15,23,2,1,810,394,11,0.38,0
486.31,1.62,29,0.96,0.07,0.01,Road,0.22,0.71,1.15,0.81,45,5364.32,90,26,3,2,137,532,4,0.03,1
398.81,4.34,10,0.93,0.09,0.03,Road,1.84,0.85,1.17,0.49,3,5468.68,15,44,3,3,511,511,1,0.88,0
472.77,9.29,28,0.75,0.04,0.01,Air,1.05,0.63,0.9,0.37,43,5050.75,90,12,1,3,456,991,1,0.43,0
452.67,6.26,27,0.95,0.1,0.04,Sea,0.5,0.75,0.95,0.11,35,3228.5,45,26,3,0,589,258,5,0.76,0
319.05,5.84,18,0.93,0.07,0.01,Sea,1.17,0.78,1.19,0.05,7,4335.33,60,16,3,3,48,681,10,0.92,0
464.84,3.42,14,0.88,0,0.04,Road,0.96,0.84,1.03,0.4,27,7685.74,60,16,3,1,482,628,9,0.65,1
89.82,4.32,18,0.8,0.09,0.03,Sea,4.87,0.81,1,0.1,42,1899.79,60,37,2,1,142,979,12,0.38,0
138.19,9.06,28,0.78,0.05,0.01,Air,1.43,0.78,1,0.1,33,2095.32,30,32,2,3,128,954,5,0.62,1
70.35,7,24,0.74,0.05,0.03,Road,1.15,0.98,1.08,0.4,4,6703.08,90,23,0,1,333,100,6,0.36,1
196.4,8.09,8,0.85,0.06,0.01,Air,4.17,0.67,1.18,0.5,26,8682.32,15,59,1,3,61,762,10,0.57,1
224.9,5.09,10,0.88,0.01,0.02,Air,2.1,0.66,0.95,0.19,8,3469.9,30,20,3,0,957,725,9,0.43,1
172.11,6.67,22,0.81,0.05,0.02,Sea,2.11,0.89,0.87,0.68,20,9334.17,30,11,0,0,934,935,3,0.15,0
422.93,3.24,13,0.84,0.08,0,Air,2.22,0.63,0.87,0.42,17,670.99,15,9,2,3,942,837,12,0.78,0
210.54,7.35,21,0.81,0,0.05,Air,2.08,0.79,0.81,0.09,5,1273.34,45,49,3,0,145,403,4,0.5,0
176.42,4.85,8,0.89,0.03,0,Sea,1.63,0.79,1.02,0.64,49,4653.6,60,57,1,3,413,981,2,0.19,0
294.21,4.98,4,0.97,0,0.03,Air,1.43,0.72,1.17,0.36,9,7262.5,45,26,3,1,768,367,4,0.89,1
113.42,6.84,27,0.75,0.04,0.02,Sea,4.41,0.97,1.09,0.05,8,3771.29,45,57,2,3,178,158,8,0.85,1
410.99,9.43,4,0.81,0.07,0.03,Air,0.81,0.71,1.2,0.95,7,5592,60,52,3,2,591,484,2,0.56,0
83.55,1.58,5,0.74,0.08,0.02,Sea,0.91,0.72,1.16,0.57,37,382.85,45,21,3,2,557,783,4,0.97,1
494.1,8.42,1,0.89,0.09,0.03,Sea,2.86,0.69,1,0.48,36,4672.16,30,9,3,3,809,687,8,0.93,0
397.51,3.63,17,0.92,0.06,0.04,Road,1.72,0.66,0.99,0.86,3,2501.5,15,9,3,3,526,902,7,0.9,1
139.42,5,2,0.98,0.03,0.03,Air,2.11,0.75,1.05,0.94,8,5212.05,30,29,2,3,369,637,9,0.13,0
52.48,1.2,8,0.78,0.09,0.01,Air,4.03,0.87,0.84,0.22,5,5305.75,30,15,0,0,669,451,2,0.29,1
416.96,3.71,7,0.99,0.08,0.03,Road,4.52,0.9,1.04,0.81,5,7556.27,90,17,3,2,246,17,4,0.41,0
368.09,5.52,15,0.72,0.06,0.01,Sea,3.95,0.93,0.99,0.83,17,5444.43,60,53,1,3,77,238,9,0.83,0
378.05,1.51,26,0.88,0.07,0,Sea,1.17,0.68,1.06,0.05,47,6181.26,60,55,3,3,752,79,6,0.87,1
397.07,5.42,25,0.72,0.09,0.02,Road,4.9,0.61,1.03,0.71,27,5343.5,30,50,1,1,159,712,9,0.75,1
83.32,9.34,5,0.97,0.07,0.02,Road,1.82,0.99,0.92,0.06,40,9904.74,60,55,1,1,490,683,9,0.47,1
211.31,1.95,2,0.86,0.04,0.02,Sea,0.85,0.61,1.04,0.59,39,7937.03,90,47,3,0,424,698,7,0.16,1
102.14,7.88,7,0.9,0.07,0.04,Sea,2.5,0.98,0.95,0.67,49,7580.89,15,19,3,0,946,49,7,0.04,1
438.4,4.69,8,0.95,0,0.02,Road,3.63,0.93,0.88,0.37,12,6309.87,45,14,1,2,230,863,8,0.7,0
330.48,6.9,28,0.75,0.04,0.02,Air,0.42,0.96,1.07,0.88,28,5330.87,60,28,2,2,270,38,2,0.99,1
198.9,3.34,7,0.71,0.04,0,Sea,3.17,0.75,0.92,0.8,4,3513.1,30,44,0,3,275,530,10,0.35,0
78.6,2.44,7,0.96,0.02,0.03,Road,4.29,0.68,1.16,0.93,28,7861.28,60,33,1,2,468,286,12,0.57,1
189.94,2.44,28,0.79,0,0.03,Air,1.31,0.84,0.88,0.31,25,1977.13,30,32,2,3,635,297,7,0.81,0
196.33,1.63,14,0.74,0.01,0.02,Air,3.47,0.9,1.04,0.02,36,461.83,45,29,0,0,686,593,6,0.19,1
378.32,2.67,21,0.84,0.07,0.04,Air,2,0.65,1.03,0.81,42,7011.9,60,45,0,0,65,192,7,0.83,1
336.9,6.98,18,0.88,0.08,0.03,Air,2.07,0.92,0.88,0.22,3,1534.03,45,37,0,0,863,948,6,0.63,0
449.25,8.94,6,0.71,0.1,0.02,Road,1.4,0.68,0.98,0.47,31,9047.88,30,35,3,1,417,531,11,0.57,1
262.5,8.33,4,0.78,0.03,0.03,Sea,3.12,0.8,1.07,0.82,37,7729.75,90,7,3,2,478,698,3,0.76,1
103.82,7.17,10,0.71,0.06,0.03,Air,1.8,0.94,0.93,0.22,12,6062.22,90,16,1,0,877,608,5,0.24,0
370.96,1.99,18,0.83,0.09,0.03,Air,4.15,0.68,0.85,0.31,37,3207.85,15,53,3,0,771,93,3,0.61,0
392.35,3.6,12,0.97,0.02,0.01,Road,4.81,0.7,1.05,0.44,37,6415.63,30,52,2,0,252,406,6,0.24,0
302.57,3.79,16,0.99,0.07,0.01,Air,4.68,0.63,0.89,0.27,4,4820.88,30,10,0,2,921,95,3,0.18,0
396.94,3.25,25,0.89,0.08,0.01,Road,0.82,0.66,1.07,0.46,30,2982.37,30,37,0,2,523,306,12,0.62,0
272.21,5.64,7,0.75,0.01,0.03,Road,0.07,0.66,1.14,0.01,38,9456.28,90,10,0,1,664,728,2,0.27,0
285.23,5.82,6,0.97,0.09,0.04,Sea,2.19,0.68,0.85,0.21,42,1702.71,90,35,3,1,178,296,11,0.71,0
242.39,4.21,28,0.85,0.08,0.02,Air,3.64,0.71,0.98,0.83,38,7558.5,90,15,3,1,584,118,4,0.51,0
61.44,4.18,5,0.75,0,0.01,Sea,4.89,0.93,0.98,0.41,27,8020.38,60,21,3,1,442,553,9,0.69,1
98.55,8.46,3,0.98,0.01,0.04,Road,3.92,0.97,1.05,0.64,22,9522.77,60,50,2,0,675,950,1,0.89,0
64.14,8.1,12,0.93,0,0.04,Air,2.9,0.76,0.93,0.23,1,5539.22,90,47,3,3,871,22,8,0.14,1
336.38,3.77,15,0.92,0.03,0.04,Road,0.13,0.65,0.97,0.65,48,5395.26,45,9,3,1,776,386,5,0.07,1
191.46,9.22,10,0.91,0.05,0.03,Road,4.13,0.69,0.8,1,43,9210.86,60,21,3,3,587,418,2,0.4,0
278.86,9.58,26,0.76,0.05,0.04,Road,0.89,0.89,0.85,0.6,38,8030.82,60,59,2,0,895,734,9,0.72,1
458.4,3.94,20,0.76,0.03,0,Air,0.28,0.87,1.03,0.63,20,7660,60,17,3,0,294,973,2,0.89,1
162.18,4.19,19,0.91,0.09,0.01,Road,4.25,0.99,0.89,0.11,18,7912.46,60,12,1,2,463,639,11,0.03,1
234.67,5.55,16,0.77,0.04,0,Road,2.83,0.61,0.86,0.4,6,4982.49,15,53,3,3,197,627,11,0.79,1
390,9.47,28,0.83,0,0.04,Air,0.64,0.9,0.93,0.86,49,510.04,60,13,1,3,714,24,3,0.08,1
152.96,8.89,11,0.93,0.03,0,Sea,1.93,0.8,0.87,0.83,12,2062.82,45,57,2,0,305,841,1,0.58,1
84.64,1.92,8,0.94,0.05,0.02,Road,0.43,0.96,0.82,0.52,17,6465.62,15,52,1,2,532,734,1,0.34,0
180.39,4.53,3,0.84,0.04,0.02,Sea,3.19,0.83,0.91,0.9,22,4022.04,60,10,2,1,701,197,2,0.02,1
122.55,5.98,23,0.94,0.03,0.02,Sea,1.41,0.78,0.87,0.14,18,6107.03,30,27,3,1,391,243,2,0.1,1
468.36,5.53,7,0.95,0.01,0.04,Sea,4.33,0.87,1.12,0.66,10,5561.61,15,7,3,2,352,894,6,0.35,1
413.65,2.74,23,0.9,0.08,0.01,Sea,1.79,0.93,0.83,0.25,24,4442.74,60,29,1,2,611,785,11,0.95,0
335.03,8.73,29,0.77,0.1,0.02,Sea,2.47,0.71,1.1,0.65,20,2423.81,45,19,3,1,232,744,8,0.15,1
442.16,7.09,7,0.78,0.03,0.04,Sea,0.32,0.64,0.95,0.09,12,7217.7,90,49,1,0,344,467,12,0.27,0
411.65,8.54,14,0.79,0.04,0,Air,1.38,0.77,1.07,0.94,4,9099.55,60,34,2,0,466,734,4,0.99,0
133.96,8.73,2,0.74,0.06,0.03,Air,3.38,0.69,0.82,0.79,42,7722.64,30,35,3,2,457,154,3,0.48,1
451.65,7.74,10,0.78,0.07,0.04,Sea,3.68,0.77,1.17,0.2,5,1288.38,45,24,3,0,747,526,2,0.26,1
292.7,4.95,19,0.76,0.04,0.05,Air,1.21,1,1.11,0.64,26,5425.7,15,29,3,0,624,150,1,0.62,0
413.35,6.49,26,0.84,0.09,0.04,Air,2.52,0.83,0.86,0.76,36,8370.13,45,34,0,3,346,542,8,0.44,0
453.24,2.44,9,0.97,0.06,0.02,Sea,4.09,0.88,0.89,0.21,16,5950.72,60,15,0,1,364,638,7,0.86,1
193.1,7.06,16,0.73,0.05,0.03,Sea,1.9,0.87,1.06,0.09,5,4451.73,30,59,1,2,365,901,11,0.01,0
99.52,2.61,19,0.92,0.06,0,Road,0.67,0.93,1.17,0.35,26,2917.01,45,49,0,1,908,124,2,1,0
152.57,7.25,18,0.91,0.1,0.01,Air,2.16,0.98,0.98,0.14,19,3370.87,45,12,3,3,241,53,12,0.07,0
242.2,3.07,9,0.73,0.08,0,Sea,3,0.86,0.99,0.57,6,2497.35,90,22,0,0,276,213,7,0.54,1
418.11,2.06,16,0.98,0,0.02,Air,0.04,0.79,0.9,0.42,24,2037.69,90,43,1,0,805,482,12,0.7,1
437.33,2.49,13,0.87,0.03,0.04,Air,1.74,0.73,0.95,0.46,31,5929.76,60,7,0,3,199,318,6,0.55,1
53.13,1.02,10,0.81,0.05,0.02,Air,3.04,0.74,0.91,0.54,31,5142.91,15,28,2,1,57,933,8,0.3,1
279.84,7.47,25,0.93,0.03,0.03,Road,4.76,0.73,0.94,0.98,7,7374.85,15,52,2,3,293,331,6,0.86,1
237.83,7.59,20,0.78,0.07,0.02,Sea,2.04,0.73,0.81,0.79,10,3148.5,30,29,0,0,823,414,4,0.43,0
149.95,5.63,14,0.91,0.08,0.02,Air,0.81,0.88,0.82,0.63,39,4662.16,60,27,2,0,969,370,8,0.3,1
103.94,2.45,12,0.71,0.07,0.05,Sea,2.67,0.84,1.07,0.36,22,6835.67,15,57,2,1,64,135,1,0.77,0
201.93,1.75,25,0.95,0.1,0.01,Air,1.43,0.68,1.07,0.03,14,9636.01,45,37,0,0,348,129,10,0.15,1
474.31,1.17,19,0.83,0.03,0.03,Sea,1.07,0.99,0.93,0.12,28,3553.82,60,44,2,1,128,223,1,0.21,0
195.44,2.49,7,0.89,0.09,0.02,Sea,2.95,0.77,1.15,0.73,42,3052.27,45,34,1,2,11,834,4,0.25,0
283.46,9.02,23,0.77,0.08,0,Sea,4.58,0.83,0.91,0.37,22,4547.95,30,50,1,0,233,320,1,0.43,1
366.36,3.17,15,0.9,0.04,0.02,Air,4.18,0.88,0.96,0.33,32,7266.35,60,33,3,0,757,651,5,0.02,1
213.63,4.19,16,0.93,0.07,0.04,Road,0.91,0.85,1.09,0.89,11,9619.35,30,45,1,1,212,615,11,0.99,0
487.3,1.95,27,0.84,0.01,0,Sea,3.83,0.72,1.1,0.48,14,5411.71,90,48,3,2,665,74,9,0.6,1
483.1,3,8,0.89,0.08,0,Road,1.15,0.92,1.14,0.9,31,8143.16,30,48,3,0,20,375,9,0.97,0
163.3,5.67,10,0.84,0.05,0.01,Sea,1.45,0.64,0.81,0.89,44,4697.56,90,19,0,0,268,214,9,0.81,0
273.76,6.47,4,0.97,0.03,0.04,Road,4.6,0.83,0.87,0.08,4,494.59,60,38,2,2,960,908,6,0.13,0
185.4,3.21,19,0.85,0.07,0.04,Sea,4.56,0.71,1.06,0.95,45,8952.69,45,13,0,0,307,196,12,0.21,1
178.18,1.52,19,0.95,0.06,0.03,Road,0.84,0.85,0.94,0.08,22,2969.79,45,57,3,1,678,733,1,0.03,0
66.6,4.52,28,0.94,0.02,0.02,Sea,0.32,0.69,0.82,0.96,29,1472.79,45,39,0,2,206,712,10,0.83,0
324.3,3.11,21,0.82,0,0.04,Sea,1.47,0.91,1.03,0.45,35,9962,30,53,2,2,613,270,5,0.59,1
276.21,2.98,27,0.77,0.04,0.04,Road,2.91,0.69,0.96,0.76,13,3539.25,60,52,2,3,424,843,10,0.22,0
73.17,9.64,15,0.82,0.06,0.04,Sea,4.38,0.96,0.95,0.71,20,1451.73,60,19,2,0,342,99,2,0.97,0
175.39,6.55,14,0.95,0.09,0.04,Air,0.59,0.94,0.91,0.52,19,3184.27,90,38,3,2,162,766,12,0.74,0
458.72,6.01,1,0.77,0.09,0.03,Sea,2.07,0.74,0.8,0.62,15,5186.99,60,13,0,2,385,998,1,0.71,1
157.8,4.74,16,0.86,0.05,0.02,Sea,1.36,0.75,0.87,0.95,26,970.78,45,18,0,2,143,923,5,0.27,1
115.2,4.86,10,0.94,0.08,0.04,Air,0.07,0.88,0.99,0.93,20,3590.95,60,46,3,3,965,402,5,0.31,1
270.25,5.87,19,0.81,0.04,0.05,Air,3.94,0.64,0.91,0.65,36,6721.68,90,21,3,0,125,159,1,0.67,0
493.54,7.27,22,0.89,0.07,0,Air,4.07,0.63,1.15,0.66,6,9167.73,60,55,1,2,76,421,7,0.59,1
158.92,7.32,3,0.77,0.02,0,Road,1.11,0.65,0.86,0.25,15,4034.63,60,27,0,0,671,453,3,0.65,1
352.46,2.55,5,0.73,0.04,0.05,Air,0.76,0.82,1.15,0.83,4,5689.19,45,18,2,2,265,149,11,0.88,1
392.73,5.5,9,0.94,0.06,0.01,Road,0.72,0.66,0.96,0.63,6,6397.02,60,19,0,1,562,302,6,0.16,1
156.94,4.71,18,0.73,0,0.04,Air,2.32,0.71,0.91,0.83,2,800.46,30,46,1,2,702,475,2,0.12,0
377.7,8.83,11,0.78,0.07,0.02,Road,1.23,0.86,0.92,0.66,36,3488.03,90,48,2,2,197,640,9,0.56,1
215.5,6.68,16,0.96,0.08,0.01,Air,2.56,0.61,0.93,0.3,15,6874.11,90,45,1,3,48,256,2,0.5,0
334.54,5.79,2,0.8,0.04,0,Air,1.92,0.67,1,0.19,12,7383.04,90,8,3,2,832,107,2,0.4,0
335.09,2.04,12,0.99,0.04,0.01,Sea,1.05,0.97,0.94,0.08,40,3623.93,60,35,3,1,489,179,1,0.9,1
291.1,6.45,22,0.99,0.09,0.01,Air,3.76,0.87,1.06,0.59,44,166.69,30,54,0,2,935,319,1,0.56,1
90.63,2.05,6,0.78,0.08,0.02,Sea,0.75,0.72,0.97,0.28,41,167.97,90,35,3,1,336,435,12,0.57,1
425.89,4.03,11,0.71,0.03,0.04,Air,3.99,0.62,1.07,0.63,7,5427.39,15,42,3,1,738,899,4,0.37,0
194.35,2.29,27,0.91,0.03,0.05,Air,2.81,0.83,1.04,0.06,22,5559.71,45,44,0,1,139,76,7,0.34,0
133.93,7.23,8,0.84,0.07,0.02,Sea,4.16,0.69,0.9,0.38,8,5601.62,15,13,1,3,785,65,4,0.99,0
68.35,2.86,12,0.73,0.06,0.03,Sea,0.02,0.98,1.13,0.26,42,7245.36,15,36,1,0,635,567,5,0.62,1
315.9,4.53,29,0.91,0.02,0.03,Road,3.75,0.87,1.12,0.37,11,9220.57,90,29,2,0,72,526,6,0.83,1
354.9,9.06,27,0.71,0.03,0.03,Sea,0.26,0.99,1.2,0.05,2,9902.69,15,57,2,1,964,577,5,0.45,0
57.46,2.84,2,0.96,0.09,0.03,Road,4.75,0.94,0.87,0.72,30,7040.56,15,34,1,3,106,160,5,0.19,0
280.44,5.57,9,0.74,0.07,0,Air,3.51,0.79,1.14,0.12,4,5188.59,30,29,3,3,421,327,4,0.32,1
151.92,4.77,15,0.74,0.1,0,Sea,1.6,0.87,1.15,0.01,25,1495.85,45,42,2,0,851,150,9,0.35,1
340.33,1.16,2,0.75,0.08,0,Sea,1.6,0.92,1.06,0.95,21,3903.33,60,48,1,1,943,324,5,0.56,0
128.46,8.13,29,0.99,0.09,0.01,Air,4.31,0.83,1,0.19,25,5767.32,90,35,3,0,539,993,9,0.15,0
360.92,1.62,1,0.91,0.02,0.04,Air,4.51,0.62,1.18,0.83,9,9998.1,90,10,3,0,455,805,4,0.39,0
224.03,5.27,10,0.94,0.08,0.01,Air,4.46,0.79,1.19,0.96,8,1357.12,15,26,1,3,726,986,9,0.1,1
471.53,6.05,2,0.82,0,0.04,Air,4.04,0.65,1.06,0.53,5,7951.46,60,11,0,3,734,15,5,0.5,1
111.88,6.66,12,0.8,0.07,0.05,Sea,4.1,0.89,0.94,0.53,46,9989.51,60,52,1,2,618,198,8,0.95,0
203.48,7.2,23,0.77,0.05,0.05,Air,2.86,0.87,1.13,0.37,28,8072.38,60,17,3,3,800,326,1,0.34,1
101.06,3.28,8,0.84,0.03,0.05,Air,0.14,1,0.84,0.43,2,7694.73,90,8,2,3,970,740,4,0.05,0
466.11,1.09,5,0.87,0.09,0.01,Sea,0.43,0.85,0.92,0.48,21,2660.94,90,47,3,0,245,694,4,0.61,0
444.8,7.51,22,0.89,0.09,0.03,Road,3.25,0.92,1.19,0.15,49,133.29,30,50,3,3,901,614,2,0.63,0
166.07,5.82,28,0.78,0,0.01,Sea,2.01,0.71,1.13,0.36,8,2337.27,90,30,1,3,689,533,3,0.48,0
346.99,8.53,1,0.98,0.06,0.04,Road,2.84,0.74,1.18,0.82,34,7919.02,90,39,3,0,581,172,8,0.4,0
417.75,8.39,15,0.75,0.04,0.04,Air,1.16,0.97,1.04,0.18,23,1162.08,30,28,0,3,94,839,12,0.89,0
299.84,8.59,6,0.99,0.04,0.04,Sea,3.25,0.9,0.96,0.73,15,3031.57,90,53,2,3,782,377,8,0.94,0
288.34,5.37,12,0.7,0.08,0.02,Air,1.21,0.86,1.19,0.65,27,5668.8,15,12,1,2,364,526,1,0.67,1
158.83,4,8,0.84,0.03,0.04,Sea,2.3,0.7,0.92,0.06,2,5840.12,15,30,0,1,411,75,2,0.5,0
91.9,8.12,13,0.8,0.09,0,Road,2.39,0.88,1.1,0.02,28,5475.59,30,35,2,2,175,724,4,0.07,1
453.75,5.06,19,0.83,0.02,0,Sea,0.89,0.95,1.02,0.35,11,9810.75,30,55,0,3,237,333,11,0.3,0
455.19,2.65,27,0.87,0.07,0.04,Air,4.38,0.69,0.89,0.69,46,221.63,15,38,3,0,376,863,6,0.29,0
334.9,8.69,1,0.83,0.07,0.02,Sea,2.63,0.88,0.81,0.33,21,4927.23,60,59,3,0,934,202,3,0.06,0
202.56,8.94,11,0.82,0.03,0.05,Air,4.33,0.76,0.95,0.67,42,5093.76,90,53,0,1,419,374,7,0.84,0
207.14,5.2,20,0.92,0.03,0,Sea,1.31,0.65,1.02,0.67,32,3003.89,45,36,2,0,69,379,3,0.87,0
376.68,1.68,1,0.91,0.08,0.04,Road,0.86,0.91,0.87,0.81,32,5298.21,45,52,0,3,173,345,8,0.91,0
453.7,4.49,8,0.95,0.08,0.02,Sea,0.09,0.67,0.97,0.1,7,6765.47,30,57,0,2,239,587,6,0.74,1
449.19,8.23,5,0.77,0.03,0.04,Sea,0.47,0.7,1.05,0.58,22,6760.28,45,47,0,1,891,690,8,0.71,0
400.94,9.12,17,0.88,0.05,0.04,Sea,0.74,0.91,1.09,0.06,14,969.78,60,9,2,2,603,676,7,0.48,0
338.91,2.83,8,0.88,0.01,0.05,Sea,0.39,0.9,0.82,0.18,13,8044.35,45,31,0,0,166,597,12,0.86,1
